original_path,new_path,action_taken,result,reason,source_hash,dest_hash
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - 6666 Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,00e936ad483a4aa991ee8f324ad90d584758888b1c40e1b99dac2686234877a7,00e936ad483a4aa991ee8f324ad90d584758888b1c40e1b99dac2686234877a7
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,ec85ae7c4d874a8d8d64e56436e12ddf999d69cd4ab0ba2bcfd915bd55fe307e,ec85ae7c4d874a8d8d64e56436e12ddf999d69cd4ab0ba2bcfd915bd55fe307e
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,abb9283f73a796186e1da3cd58e53817f9d74d8b378ecf9d71eac4451f652f9b,abb9283f73a796186e1da3cd58e53817f9d74d8b378ecf9d71eac4451f652f9b
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,a58ad416c05b95c925a64bd7ba11eadb3da8641427d160291fa6072c62b98261,a58ad416c05b95c925a64bd7ba11eadb3da8641427d160291fa6072c62b98261
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Master of the Universe Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,3d36bd39ed6c654bb3f7a8c646aa48756623d3c2b2951ae2764967dc404caaa7,3d36bd39ed6c654bb3f7a8c646aa48756623d3c2b2951ae2764967dc404caaa7
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Ride to Hell Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,56c71ad5a6bc92c1b725eaa2a120b691058b267fbe3d28b898fd0c72f46118b1,56c71ad5a6bc92c1b725eaa2a120b691058b267fbe3d28b898fd0c72f46118b1
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Sixcalibur (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Sixcalibur Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,6c47028cbe7bbc960a5d4cc0c7ca3e32876f6823fcb8f46a4c96c1e3b2782488,6c47028cbe7bbc960a5d4cc0c7ca3e32876f6823fcb8f46a4c96c1e3b2782488
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,56162c7441bf902ed2b20877caae27d29e3d3936b4b951f8995aa84211bf3c3c,56162c7441bf902ed2b20877caae27d29e3d3936b4b951f8995aa84211bf3c3c
"C:\Users\suppo\Downloads\New Music\Top1000\AronChupa, Little Sis Nora - Im an Albatraoz ｜ OFFICIAL VIDEO.mp3","C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aronchupa, Little Sis Nora - Im an Albatraoz ｜ Official Video.mp3",rename_and_move,applied,renamed and moved to READY_NORMALIZED,d584b71d7fd95b47cbc8324f80f0a4a571b4fafd1d07414b0e60e50233e74bc3,d584b71d7fd95b47cbc8324f80f0a4a571b4fafd1d07414b0e60e50233e74bc3
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,c20b898e31ed7005ab49a9ec2ab9ebab022f1cd2eca29b95690c59ae98f855a3,c20b898e31ed7005ab49a9ec2ab9ebab022f1cd2eca29b95690c59ae98f855a3
