original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper (Official 4K Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\George Michael - Careless Whisper (Music Video) (Alt 1).mp3,applied,success,b66149684e7f8a050acc5afcb6cdc02b749ab6cf36ef964b63c232f0e2ada5f8,b66149684e7f8a050acc5afcb6cdc02b749ab6cf36ef964b63c232f0e2ada5f8
C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Martin Garrix - Animals (Music Video) (Alt 1).mp3,applied,success,05b024c3103fda22f67074761caa8585ea24fddf19827d2febc94ac020439d9b,05b024c3103fda22f67074761caa8585ea24fddf19827d2febc94ac020439d9b
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video) (Alt 1).mp3,applied,success,2ed67727eac6d3596e11cbccb6508bfc7968cd124b8361f387ff5c1065590c25,2ed67727eac6d3596e11cbccb6508bfc7968cd124b8361f387ff5c1065590c25
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix) (Alt 1).mp3,applied,success,a6f7a84ece948bc6095b2e8c31ec36f638aa9861b585e1d5437bc76f5d481873,a6f7a84ece948bc6095b2e8c31ec36f638aa9861b585e1d5437bc76f5d481873
C:\Users\suppo\Downloads\New Music\Top1000_Country\Easton Corbin - A Little More Country Than That (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Easton Corbin - A Little More Country Than That (Music Video) (Alt 1).mp3,applied,success,73744d8e365c75b98df9c74085cf1346c7a37d2d449ad5348d1ac49d60dd8ed1,73744d8e365c75b98df9c74085cf1346c7a37d2d449ad5348d1ac49d60dd8ed1
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits (Official Lyric Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kacey Musgraves - Biscuits (Music Video) (Alt 1).mp3,applied,success,b5aff23d3a4b84693f2c9bc8a57a8de993b6e53265cf58c5505ec15e8b042d8f,b5aff23d3a4b84693f2c9bc8a57a8de993b6e53265cf58c5505ec15e8b042d8f
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Nirvana - Smells Like Teen Spirit (Official Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Nirvana - Smells Like Teen Spirit (Music Video) (Alt 1).mp3,applied,success,b649b8d8f076b035f182e5e674cd4a97654f1eb78c071b79f4d1e442438f3c8e,b649b8d8f076b035f182e5e674cd4a97654f1eb78c071b79f4d1e442438f3c8e
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Queen - Bohemian Rhapsody (2011 Digital Remaster).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Queen - Bohemian Rhapsody (2011 Digital Remaster) (Alt 1).mp3,applied,success,8570ce343738d8002a75b9190472c720f5c4c89836b4e1d87003688f9cc0285e,8570ce343738d8002a75b9190472c720f5c4c89836b4e1d87003688f9cc0285e
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Big Pun - Still Not a Player ft. Joe (Music Video) (Alt 1).mp3,applied,success,42b563e86cf7550db9ceed4a71b83bd1a36af40be947a4ed4d7218bee3a1dc54,42b563e86cf7550db9ceed4a71b83bd1a36af40be947a4ed4d7218bee3a1dc54
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain (Official HD Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cypress Hill - Insane in the Brain (Music Video) (Alt 1).mp3,applied,success,c7318e45619c45018a3d3e173a35e481a7bbe5df7e97f91760d4068af9ff6cda,c7318e45619c45018a3d3e173a35e481a7bbe5df7e97f91760d4068af9ff6cda
