original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,applied,success,6e6c159dc09ae2351ded2b957a9f1bddd39f4e016ba9b2411b5c10c9b35d4a98,6e6c159dc09ae2351ded2b957a9f1bddd39f4e016ba9b2411b5c10c9b35d4a98
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Leoncavallo - Pagliacci： Vesti La Giubba.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Leoncavallo - Pagliacci： Vesti La Giubba.mp3,applied,success,19836a06c6ef0daa5d41c847b199876207b3a27368ab378d8af2245c0c7b7496,19836a06c6ef0daa5d41c847b199876207b3a27368ab378d8af2245c0c7b7496
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Rossini - La Gazza Ladra： Overture.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Rossini - La Gazza Ladra： Overture.mp3,applied,success,6ed9dd01cbbcb4b18a6a64d676c4f28afac25d6c4471c1509288a93041f89a4f,6ed9dd01cbbcb4b18a6a64d676c4f28afac25d6c4471c1509288a93041f89a4f
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Verdi - Rigoletto： La Donna E Mobile.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Verdi - Rigoletto： La Donna E Mobile.mp3,applied,success,229ab5fbf9b1369cd075635efa9886e56362f0c1c082459a3b7372860b4e9fab,229ab5fbf9b1369cd075635efa9886e56362f0c1c082459a3b7372860b4e9fab
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,,skipped,destination_exists_in_READY,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,,skipped,destination_exists_in_READY,,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,,skipped,destination_exists_in_READY,,
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3",,skipped,destination_exists_in_READY,,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On (Official Music Video).mp3,,skipped,destination_exists_in_READY,,
