file_path,action,result,reason
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Metallica： Enter Sandman (Official Music Video).mp3,RENAME,success,Renamed: Metallica： Enter Sandman (Official Music Video).mp3 → Metallica - Enter Sandman.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Metallica： Nothing Else Matters.mp3,RENAME,blocked,TARGET_EXISTS
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Metallica： One (Official Music Video).mp3,RENAME,success,Renamed: Metallica： One (Official Music Video).mp3 → Metallica - One.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Mickey Newbury ： After All These Years.mp3,RENAME,success,Renamed: Mickey Newbury ： After All These Years.mp3 → Mickey Newbury - After All These Years.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert-Lyin Here.mp3,RENAME,success,Renamed: Miranda Lambert-Lyin Here.mp3 → Miranda Lambert - Lyin Here.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Mizxy Slime - Angel Wings ｜ MizxySlime.com.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mos Def： Ms Fat Booty - Black On Both Sides.mp3,RENAME,blocked,SOURCE_NOT_FOUND
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\Mozart： Don Giovanni, K. 527 ⧸ Act 1 - ＂Là ci darem la mano＂.mp3",RENAME,success,"Renamed: Mozart： Don Giovanni, K. 527 ⧸ Act 1 - ＂Là ci darem la mano＂.mp3 → Mozart  Don  Giovanni - 527 Act 1.mp3"
C:\Users\suppo\Downloads\New Music\Top1000_Country\My Best Friend~Tim McGraw Lyrics.mp3,RENAME,success,Renamed: My Best Friend~Tim McGraw Lyrics.mp3 → Tim Mcgraw - My Best Friend.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Hypnotised ｜ Official Visualiser.mp3,RENAME,success,Renamed: Paul Damixie - Hypnotised ｜ Official Visualiser.mp3 → Paul Damixie - Hypnotised.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Im Done feat. Lee Heart ｜ Official Visualizer.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\POWERWOLF ft. Hansi Kürsch (Blind Guardian) - Call Of The Wild ｜ Napalm Records.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\PSY - GANGNAM STYLE M⧸V.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\PSY - GENTLEMAN M⧸V.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Scorpions - The Zoo ⧸W Lyrics.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Country\Scotty McCreery - Can I Trust You With My Heart w⧸lyrics.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\SERENITY - Souls and Sins (feat. Sascha Paeth & Michele Guaitoli) (Live Video) ｜ Napalm Records.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Club\Ship Wrek & Zookeepers - Ark ｜ Future Bass ｜ NCS - Copyright Free Music.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Days of Summer ｜ Official Visualizer.mp3,RENAME,success,Renamed: Smiley - Days of Summer ｜ Official Visualizer.mp3 → Smiley - Days of Summer.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Let Me Go ｜ Official Visualiser.mp3,RENAME,success,Renamed: Smiley - Let Me Go ｜ Official Visualiser.mp3 → Smiley - Let Me Go.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Tomorrow ｜ Official Visualizer.mp3,RENAME,success,Renamed: Smiley - Tomorrow ｜ Official Visualizer.mp3 → Smiley - Tomorrow.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Walking To The Moon ｜ Official Visualizer.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\Stormy Weather ｜ Beneath Velvet Skies ｜ 432Hz.mp3,RENAME,success,Renamed: Stormy Weather ｜ Beneath Velvet Skies ｜ 432Hz.mp3 → Stormy Weather - Beneath Velvet Skies.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\The Allman Brothers Band - Jessica ｜ Live at Capitol Theatre (1979).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Disco\The Commodores-Brick House.mp3,RENAME,success,Renamed: The Commodores-Brick House.mp3 → The Commodores - Brick House.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\THE DARK SIDE OF THE MOON ft. Rusanda Panfili - Double Trouble⧸Lumos! (Official Video) Harry Potter.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Disco\The Jacksons⧸Jackson 5 - Shake Your Body Down To The Ground.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Country\Toby Keith - New Album： American Ride - You cant read my mind.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\TOESUP x @IOVA - Mondays ｜ Official Visualizer.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000\Travesuras - Nicky Jam ｜ Video Oficial.mp3,RENAME,success,Renamed: Travesuras - Nicky Jam ｜ Video Oficial.mp3 → Travesuras - Nicky Jam.mp3
C:\Users\suppo\Downloads\New Music\Top1000\twenty one pilots： Heathens.mp3,RENAME,success,Renamed: twenty one pilots： Heathens.mp3 → Twenty One Pilots - Heathens.mp3
C:\Users\suppo\Downloads\New Music\Top1000\twenty one pilots： Stressed Out.mp3,RENAME,success,Renamed: twenty one pilots： Stressed Out.mp3 → Twenty One Pilots - Stressed Out.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Van Halen - Eruption⧸You Really Got Me.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Verdi - Rigoletto： La Donna E Mobile.mp3,RENAME,success,Renamed: Verdi - Rigoletto： La Donna E Mobile.mp3 → Verdi - Rigoletto.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Zac Brown Band - Chicken Fried ｜ The Foundation.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3,RENAME,success,Renamed: Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3 → Geto Boys - Mind Playing Tricks on Me.mp3
