file_path,action,new_name,source
C:\Users\suppo\Downloads\New Music\Top1000\Kelsie Kimberlin - Road Trip ｜ #standwithukraine.mp3,RENAME,Kelsie Kimberlin - Road Trip.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Kelsie Kimberlin – Another Chance to Live Again ｜ Bucha & Irpin Ukraine.mp3,RENAME,Kelsie Kimberlin - Another Chance to Live Again.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenney Chesney -Sherrys living in Paradise ：).mp3,RENAME,Kenney Chesney - Living in Paradise.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\LEMONA - Sometimes ｜ English Version.mp3,RENAME,Lemona - Sometimes.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Leoncavallo - Pagliacci： Vesti La Giubba.mp3,RENAME,Leoncavallo Pagliacciï - Vesti La Giubba.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Luciano Pavarotti： Celeste Aida.mp3,RENAME,Luciano Pavarottiï - Celeste Aida.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Mark Knopfler⧸Emmylou Harris - If This Is Goodbye.mp3,RENAME,Mark Knopfler Emmylou Harris - If This is Goodbye.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Metallica： Enter Sandman (Official Music Video).mp3,RENAME,Metallica - Enter Sandman.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Metallica： Nothing Else Matters.mp3,RENAME,Metallica - Nothing Else Matters.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Metallica： One (Official Music Video).mp3,RENAME,Metallica - One.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Mickey Newbury ： After All These Years.mp3,RENAME,Mickey Newbury - After All These Years.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert-Lyin Here.mp3,RENAME,Miranda Lambert - Lyin Here.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Mizxy Slime - Angel Wings ｜ MizxySlime.com.mp3,RENAME,Mizxy Slime - Angel Wings.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mos Def： Ms Fat Booty - Black On Both Sides.mp3,RENAME,Mos Def Ms Fat Booty - Black on Both Sides.mp3,operator
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\Mozart： Don Giovanni, K. 527 ⧸ Act 1 - ＂Là ci darem la mano＂.mp3",RENAME,Mozart  Don  Giovanni - 527 Act 1.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\My Best Friend~Tim McGraw Lyrics.mp3,RENAME,Tim Mcgraw - My Best Friend.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Hypnotised ｜ Official Visualiser.mp3,RENAME,Paul Damixie - Hypnotised.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Paul Damixie - Im Done feat. Lee Heart ｜ Official Visualizer.mp3,RENAME,Paul Damixie - Im Done Feat. Lee Heart.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\POWERWOLF ft. Hansi Kürsch (Blind Guardian) - Call Of The Wild ｜ Napalm Records.mp3,RENAME,Powerwolf ft. Hansi Karsch - Call of the Wild.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\PSY - GANGNAM STYLE M⧸V.mp3,RENAME,Psy - Gangnam Style.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\PSY - GENTLEMAN M⧸V.mp3,RENAME,Psy - Gentleman.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Scorpions - The Zoo ⧸W Lyrics.mp3,RENAME,Scorpions - The Zoo.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Country\Scotty McCreery - Can I Trust You With My Heart w⧸lyrics.mp3,RENAME,Scotty Mccreery - Can I Trust You With My Heart.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\SERENITY - Souls and Sins (feat. Sascha Paeth & Michele Guaitoli) (Live Video) ｜ Napalm Records.mp3,RENAME,Serenity - Souls and Sins.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Club\Ship Wrek & Zookeepers - Ark ｜ Future Bass ｜ NCS - Copyright Free Music.mp3,RENAME,Ship Wrek & Zookeepers - Ark Future Bass.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Days of Summer ｜ Official Visualizer.mp3,RENAME,Smiley - Days of Summer.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Let Me Go ｜ Official Visualiser.mp3,RENAME,Smiley - Let Me Go.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Tomorrow ｜ Official Visualizer.mp3,RENAME,Smiley - Tomorrow.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Walking To The Moon ｜ Official Visualizer.mp3,RENAME,Smiley - Walking to the Moon.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000\Stormy Weather ｜ Beneath Velvet Skies ｜ 432Hz.mp3,RENAME,Stormy Weather - Beneath Velvet Skies.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\The Allman Brothers Band - Jessica ｜ Live at Capitol Theatre (1979).mp3,RENAME,The Allman Brothers Band - Jessica.mp3,operator
C:\Users\suppo\Downloads\New Music\Top1000_Disco\The Commodores-Brick House.mp3,RENAME,The Commodores - Brick House.mp3,operator
