original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Call 911 ｜ Official Music Video.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Call 911 ｜ Official Music Video.mp3,applied,success,fcf75b587159566f40e3622358a60be34e96c358ef2f6145d0174efc160c8de4,fcf75b587159566f40e3622358a60be34e96c358ef2f6145d0174efc160c8de4
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Lolita ｜ Official Visualizer.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - Lolita ｜ Official Visualizer.mp3,applied,success,f0587be0777cb3482b97f513d79375166e3b2df9d336a166b6b4ba76f0d123b1,f0587be0777cb3482b97f513d79375166e3b2df9d336a166b6b4ba76f0d123b1
C:\Users\suppo\Downloads\New Music\Top1000\Carine - On My Mind ｜ Official Music Video.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Carine - On My Mind ｜ Official Music Video.mp3,applied,success,337df4de4f9b247dfe8132ad17176597b646e271eaa72859d4eaa1002677f9f6,337df4de4f9b247dfe8132ad17176597b646e271eaa72859d4eaa1002677f9f6
C:\Users\suppo\Downloads\New Music\Top1000\Edine - 24⧸7.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Edine - 24⧸7.mp3,applied,success,61f5f7e8c16b24ed40ee3b82357f9a8c8d2f50d2986c6b3cc35ca9b625011b2a,61f5f7e8c16b24ed40ee3b82357f9a8c8d2f50d2986c6b3cc35ca9b625011b2a
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - me.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kelly Clarkson - Me.mp3,applied,success,b0d79dd0816a30b619bac457a54aaf7151ec536699f070e366e74e0fd23f0a1c,b0d79dd0816a30b619bac457a54aaf7151ec536699f070e366e74e0fd23f0a1c
C:\Users\suppo\Downloads\New Music\Top1000\Kelsie Kimberlin - Road Trip ｜ #standwithukraine.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kelsie Kimberlin - Road Trip ｜ #standwithukraine.mp3,applied,success,095b839d0b140f7071ae4ba437eaa83e1daa678ff5d22e121271cd1ce04b6a00,095b839d0b140f7071ae4ba437eaa83e1daa678ff5d22e121271cd1ce04b6a00
C:\Users\suppo\Downloads\New Music\Top1000\Kingzlee - Recipe ｜ Pressplay.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kingzlee - Recipe ｜ Pressplay.mp3,applied,success,993dc8ff30a0026bf7ab6dfe08aeb09d52dba4c28d987299b037bf98a146944c,993dc8ff30a0026bf7ab6dfe08aeb09d52dba4c28d987299b037bf98a146944c
C:\Users\suppo\Downloads\New Music\Top1000\MC Fioti - Bum Bum Tam Tam ｜ Official Music Video.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\MC Fioti - Bum Bum Tam Tam ｜ Official Music Video.mp3,applied,success,2c4e89b8202bcdf45245b931ab73ef73fb1aefff557c8a1d13d8e614b06b9f58,2c4e89b8202bcdf45245b931ab73ef73fb1aefff557c8a1d13d8e614b06b9f58
C:\Users\suppo\Downloads\New Music\Top1000\MC Kevinho - Olha a Explosão ｜ Official Music Video.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\MC Kevinho - Olha a Explosão ｜ Official Music Video.mp3,applied,success,a89b411eb617e12c31777a62b32cea3f11a8877b8d2951f0f617f107cfb69851,a89b411eb617e12c31777a62b32cea3f11a8877b8d2951f0f617f107cfb69851
C:\Users\suppo\Downloads\New Music\Top1000\Mile Ho Tum - Reprise Version ｜ Neha Kakkar ｜ Tony Kakkar ｜ Fever ｜ Gaurav Jang.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Mile Ho Tum - Reprise Version ｜ Neha Kakkar ｜ Tony Kakkar ｜ Fever ｜ Gaurav Jang.mp3,applied,success,05caed8cbac2c111b136787fa91589f550b760616640841889422567d7d89d2b,05caed8cbac2c111b136787fa91589f550b760616640841889422567d7d89d2b
