NGKsPlayerNative - Full Library Contents
Total tracks: 960
Generated: 2026-04-12

   ID  Artist                          Title                                               File Path
 1969  Aaron Tippin                    Aaron Tippin - Drivin_Fool                          C:\Users\suppo\Music\Aaron Tippin - Drivin_Fool .mp3
 1970  Austin Forman                   Austin Forman - Home Sweet Home                     C:\Users\suppo\Music\Austin Forman - Home Sweet Home.mp3
 1971  Ava Boyz                        Ava Boyz - Aumaia Lou Alofa                         C:\Users\suppo\Music\Ava Boyz - Aumaia Lou Alofa.mp3
 1972  Avenged Sevenfold               Avenged Sevenfold - Hail To The King                C:\Users\suppo\Music\Avenged Sevenfold - Hail To The King.mp3
 1973  Bad Company                     Bad Company - Feel Like Making Love                 C:\Users\suppo\Music\Bad Company - Feel Like Making Love.mp3
 1974  Bad Company                     Bad Company - Good Lovin Gone Bad                   C:\Users\suppo\Music\Bad Company - Good Lovin Gone Bad.mp3
 1975  Bad Company                     Bad Company - Rock 'N' Roll Fantasy                 C:\Users\suppo\Music\Bad Company - Rock 'N' Roll Fantasy.mp3
 1976  Bad Company                     Bad Company - Shooting Star                         C:\Users\suppo\Music\Bad Company - Shooting Star.mp3
 1977  Bad Wolves                      Bad Wolves - Hear Me Now                            C:\Users\suppo\Music\Bad Wolves - Hear Me Now .mp3
 1978  Bad Wolves                      Bad Wolves - If Tomorrow Never Comes                C:\Users\suppo\Music\Bad Wolves - If Tomorrow Never Comes.mp3
 1979  Bad Wolves                      Bad Wolves - No Masters                             C:\Users\suppo\Music\Bad Wolves - No Masters.mp3
 1980  Bad Wolves                      Bad Wolves - Remember When                          C:\Users\suppo\Music\Bad Wolves - Remember When.mp3
 1981  Big & Rich                      Big and Rich - Save a Horse Ride a Cowboy           C:\Users\suppo\Music\Big and Rich - Save a Horse Ride a Cowboy.mp3
 1982  Billy Currington                Billy Currington - Good Direction                   C:\Users\suppo\Music\Billy Currington - Good Direction.mp3
 1983  Billy Currington                Billy Currington - Pretty Good At Drinkin' Beer     C:\Users\suppo\Music\Billy Currington - Pretty Good At Drinkin' Beer.mp3
 1984  Billy Idol                      Billy Idol - Cradle Of Love                         C:\Users\suppo\Music\Billy Idol - Cradle Of Love.mp3
 1985  Billy Idol                      Billy Idol - White Wedding                          C:\Users\suppo\Music\Billy Idol - White Wedding.mp3
 1986  Billy Joe Shaver                Billy Joe Shaver - Georgia on a Fast Train          C:\Users\suppo\Music\Billy Joe Shaver - Georgia on a Fast Train.mp3
 1987  Billy Joel                      Billy Joel - My Life                                C:\Users\suppo\Music\Billy Joel - My Life.mp3
 1988  Billy Joel                      Billy Joel - Only the Good Die Young                C:\Users\suppo\Music\Billy Joel - Only the Good Die Young.mp3
 1989  Billy Joel                      Billy Joel - Pressure                               C:\Users\suppo\Music\Billy Joel - Pressure.mp3
 1990  Billy Joel                      Billy Joel - You May Be Right                       C:\Users\suppo\Music\Billy Joel - You May Be Right.mp3
 1991  Billy Ray Cyrus                 Billy Ray Cyrus - Some Gave All                     C:\Users\suppo\Music\Billy Ray Cyrus - Some Gave All.mp3
 1992  Billy Ray Cyrus                 Billy Ray Cyrus - Words By Heart                    C:\Users\suppo\Music\Billy Ray Cyrus - Words By Heart .mp3
 1993  Billy Squier                    Billy Squier - Everybody Wants You                  C:\Users\suppo\Music\Billy Squier - Everybody Wants You.mp3
 1994  Billy Squier                    Billy Squier - The Stroke                           C:\Users\suppo\Music\Billy Squier - The Stroke.mp3
 1995  Billy Squier                    Billy Squire - Lonely Is the Night                  C:\Users\suppo\Music\Billy Squire - Lonely Is the Night.mp3
