file_path,metadata_artist,metadata_title,metadata_album,metadata_genre,metadata_track,tag_version,duration_secs,missing_fields
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Unstoppable Napalm Records.mp3,Napalm Records,AD INFINITUM - Unstoppable (Official Video) | Napalm Records,,Music,63,ID3v2.3,272.7,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Upside Down Napalm Records.mp3,Napalm Records,AD INFINITUM - Upside Down (Official Video) | Napalm Records,,Music,63,ID3v2.3,229.4,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aephanemer - Antigone Napalm Records.mp3,Napalm Records,AEPHANEMER - Antigone (Official Video) | Napalm Records,,Music,63,ID3v2.3,275.9,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aephanemer - Panta Rhei Napalm Records.mp3,Napalm Records,AEPHANEMER - Panta Rhei (Official Video) | Napalm Records,,Music,63,ID3v2.3,346.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aero Chord Feat. Ddark - Shootin Stars ｜ Trap ｜ Ncs - Copyright Free Music.mp3,NoCopyrightSounds,Aero Chord feat. DDARK - Shootin Stars | Trap | NCS - Copyright Free Music,,Music,63,ID3v2.3,242.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alan Jackson - Anywhere On Earth You Are.mp3,yvonnedenice,Alan Jackson Anywhere On Earth You Are,,Film & Animation,63,ID3v2.3,254.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alan Jackson - Knew All Along.mp3,royb5000,Alan Jackson Knew All Along,,Music,63,ID3v2.3,246.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Albert Collins - Ice Pick.mp3,Bruno Rosa,Albert Collins   Ice Pick,,Music,63,ID3v2.3,253.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au).mp3,Alesso,Alesso - I Wanna Know (Alesso & Deniz Koyu Remix / Audio) ft. Nico & Vinz,,Music,63,ID3v2.3,325.1,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - Super Trouper Napalm Records.mp3,Napalm Records,AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) | Napalm Records,,Music,63,ID3v2.3,251.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - Temptation's Gates Napalm Records.mp3,"Napalm Records, AmberianDawn",AMBERIAN DAWN - Temptation's Gates (Official Video) | Napalm Records,,Music,63,ID3v2.3,187.2,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - The Day Before You Came Napalm Records.mp3,Napalm Records,AMBERIAN DAWN - The Day Before You Came (Lyric Video) | Napalm Records,,Music,63,ID3v2.3,351.0,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ambitionz Az - A Ridah.mp3,2Pac,Ambitionz Az A Ridah,All Eyez On Me,Music,63,ID3v2.3,278.4,
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - 6666 Napalm Records.mp3,Napalm Records,ANGUS MCSIX - 6666 (Official Video) | Napalm Records,,Music,63,ID3v2.3,258.9,TALB
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,Napalm Records,ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) | Napalm Records,,Music,63,ID3v2.3,310.0,TALB
