file_path,original_name,cleaned_name,issue_type,confidence,recommended_action,auto_clean,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Days of Summer ｜ Official Visualizer.mp3,Smiley - Days of Summer ｜ Official Visualizer.mp3,Smiley - Days of Summer.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c; stripped:\bOfficial\b,4
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Let Me Go ｜ Official Visualiser.mp3,Smiley - Let Me Go ｜ Official Visualiser.mp3,Smiley - Let Me Go.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c; stripped:\bOfficial\b,4
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Tomorrow ｜ Official Visualizer.mp3,Smiley - Tomorrow ｜ Official Visualizer.mp3,Smiley - Tomorrow.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c; stripped:\bOfficial\b,4
C:\Users\suppo\Downloads\New Music\Top1000\Smiley - Walking To The Moon ｜ Official Visualizer.mp3,Smiley - Walking To The Moon ｜ Official Visualizer.mp3,Smiley - Walking to the Moon.mp3,NO_CHANGE,1,RENAME,true,stripped_unicode_0xff5c; stripped:\bOfficial\b,4
C:\Users\suppo\Downloads\New Music\Top1000_Country\Somewhere Between~Keith Whitley.mp3,Somewhere Between~Keith Whitley.mp3,Somewhere Between~keith Whitley.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Somewhere Else-Toby Keith Lyrics.mp3,Somewhere Else-Toby Keith Lyrics.mp3,Somewhere Else-toby - Keith.mp3,BAD_SPLIT,0.85,RENAME,true,stripped:\bLyrics?!?\b,2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.temp.mp3,sonny boy williamson help me.temp.mp3,Sonny Boy - Williamson Help Me.temp.mp3,NEAR_DUPLICATE,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: near_duplicate. Group: G0106. duplicate_risk=near_duplicate,2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Southern Rock Channel.mp3,Southern Rock Channel.mp3,Southern Rock Channel.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
C:\Users\suppo\Downloads\New Music\Top1000\SPIRITSAVER - ＂IM HIGH HAVE YOU MET ME？＂.mp3,SPIRITSAVER - ＂IM HIGH HAVE YOU MET ME？＂.mp3,Spiritsaver.mp3,NO_PARSE,0,VERIFY,false,whitespace_cleanup,2
C:\Users\suppo\Downloads\New Music\Top1000_Classical\St. Pauls Suite Gustav Holst 1. Jig.mp3,St. Pauls Suite Gustav Holst 1. Jig.mp3,St. Pauls - Suite Gustav Holst 1. Jig.mp3,BAD_SPLIT,0.3,VERIFY,false,Parse: fallback_heuristic. Dup risk: none. Group: . conf=0.3 method=fallback_heuristic,2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Stereo love.mp3,Stereo love.mp3,Stereo Love.mp3,NO_PARSE,0,VERIFY,false,"Parse: unknown. Dup risk: none. Group: . no separator found, unknown parse",2
