parent_genre,subgenre_count
Alternative,16
Blues,12
Classical,14
Country,16
EDM,22
Electronic,19
Folk,15
Hip-Hop,29
Jazz,17
Metal,20
Pop,18
R&B,14
Reggae,13
Rock,31
World,19
