track_id,original_genre,v2_genre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
2217,Hip-Hop,Hip-Hop,0.8,-14.0,,,0.62,0.62,
2221,Rock,Rock,0.7363,-29.7,94.49,0.5839,0.265,0.429,3.0
2239,Rock,Rock,0.7438,-24.9,92.04200000000002,0.8848,0.667,0.93,3.0
2240,Rock,Rock,0.792,-37.7,101.28533333333333,0.8138,0.147,0.558,3.0
2245,Rock,Rock,0.8309,-27.8,62.88733333333334,0.8491,0.681,0.935,3.0
2251,Metal,Metal,0.7635,-23.6,81.19666666666667,0.8985,0.723,0.951,3.0
2258,Country,Country,0.8421,-28.2,54.20733333333333,0.8936,0.45,0.849,3.0
2264,Country,Country,0.7576,-28.5,82.64266666666667,0.8973,0.446,0.497,3.0
2270,Country,Country,0.8854,-31.1,97.835,0.8596,0.415,0.486,3.0
2272,Country,Country,0.8136,-30.2,51.79866666666666,0.85,0.422,0.838,3.0
2274,Country,Country,0.8441,-30.2,72.345,0.8883,0.474,0.508,3.0
2277,Rock,Rock,0.5966,-22.5,82.09400000000001,0.8796,0.632,0.917,3.0
2280,Country,Country,0.9285,-29.4,73.52,0.8271,0.418,0.712,3.0
2282,Country,Country,0.8295,-29.9,57.49333333333333,0.8956,0.462,0.503,3.0
2284,Country,Country,0.7384,-33.3,54.11933333333334,0.8,0.304,0.61,3.0
2287,Rock,Rock,0.6304,-22.3,75.11666666666666,0.9,0.739,0.957,3.0
2290,Rock,Rock,0.3675,-25.3,210.5,0.9,0.66,0.928,2.0
2298,Rock,Rock,0.8098,-34.1,101.56666666666666,0.85,0.237,0.769,3.0
2299,Country,Country,0.662,-29.2,62.32999999999999,0.85,0.496,0.689,3.0
2304,Rock,Rock,,-10.9,,0.95,0.9,0.96,
2305,Country,Country,0.7303,-27.7,54.35733333333332,0.6649,0.412,0.835,3.0
2307,Pop,Pop,0.7254,-33.8,84.52733333333333,0.8992,0.273,0.775,3.0
2315,Rock,Rock,0.653,-23.5,66.33999999999999,0.9,0.654,0.925,3.0
2318,R&B,Other,0.3286,-31.1,85.73466666666667,0.8861,0.474,0.858,3.0
2323,Country,Country,0.8578,-25.7,69.81533333333333,0.85,0.779,0.92,3.0
2324,Country,Country,0.8322,-24.2,65.05066666666666,0.85,0.747,0.908,3.0
