original_path,decision,target_state,proposed_new_path,eligible,block_reason
C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_Club\Clean Bandit - Rockabye.mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_Club\Coldplay - Hymn For The Weekend.mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise ft. L.V..mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise.mp3,hold,HELD_PROBLEMS,,no,decision=hold
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong (Official Audio).mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain (Official HD Video).mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Cypress Hill - Insane In The Brain (Official HD Video) (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Delain - The Quest and the Curse Napalm Records.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.temp.mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Denim and Leather-saxon.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).temp.mp3,approve_alternate,REVIEW_REQUIRED,,no,source_missing
