original_path,decision,target_state,proposed_new_path,eligible,block_reason
"C:\Users\suppo\Downloads\New Music\Top1000_Country\Josh Turner, Silver Wings.mp3",approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Josh Turner - Silver Wings.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- Freewheel Burning with lyrics.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Judas Priest - Freewheel Burning with lyrics.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- The Sentinel with lyrics.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Judas Priest - The Sentinel with lyrics.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Junior Wells Hoodoman Blues.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Junior Wells - Hoodoman Blues.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Just to See You Smile Lyrics By Tim McGraw.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Tim McGraw - Just to See You Smile Lyrics.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits (Official Lyric Video).mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kacey Musgraves - Biscuits (Official Lyric Video) (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\KAMELOT - Eventide (Official Video) ｜ Napalm Records.mp3,approve_alternate,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\KAMELOT - Eventide (Official Video) ｜ Napalm Records (Music Video).mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000\Katy Perry Last Friday Night Lyrics.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Katy Perry - Last Friday Night Lyrics.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Keb Mo ⧸ Dangerous Mood.mp3,keep_review,REVIEW_REQUIRED,,no,decision=keep_review
C:\Users\suppo\Downloads\New Music\Top1000\Kelsie Kimberlin - Road Trip ｜ #standwithukraine.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kelsie Kimberlin - Road Trip - #standwithukraine.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney The Life.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kenny Chesney - The Life.mp3,yes,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney ~ A Lot Of Things Different.mp3,approve_primary,READY_NORMALIZED,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kenny Chesney - ~ A Lot Of Things Different.mp3,yes,
