track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
2111,Country,,117.5,0.9,10B,0.7758,,,,,,,,,,,,,,,,-31.5,0.255,0.776,,,,,3.0,57.72466666666666
2115,Country,,129.2,0.85,9B,0.7901,,,,,,,,,,,,,,,,-24.8,0.59,0.901,,,,,3.0,71.39
2116,Country,,152.0,0.9,12B,0.8243,,,,,,,,,,,,,,,,-34.9,0.271,0.604,,,,,3.0,74.98199999999999
2117,Country,,123.0,0.8989,9B,0.7733,,,,,,,,,,,,,,,,-40.7,0.132,0.73,,,,,3.0,55.5
2120,Country,,152.0,0.9,4B,0.8796,,,,,,,,,,,,,,,,-36.4,0.228,0.416,,,,,3.0,102.60066666666667
2122,Country,,95.7,0.9,10B,0.7746,,,,,,,,,,,,,,,,-25.0,0.707,0.886,,,,,3.0,77.44266666666667
2123,Country,,95.7,0.888,9B,0.7751,,,,,,,,,,,,,,,,-24.9,0.814,0.943,,,,,3.0,83.30866666666667
2125,Country,,103.4,0.8735,12B,0.9016,,,,,,,,,,,,,,,,-37.2,0.201,0.405,,,,,3.0,75.60799999999999
2132,Rock,,136.0,0.9,9B,0.5699,,,,,,,,,,,,,,,,-32.8,0.314,0.72,,,,,3.0,95.61000000000001
2136,Country,,99.4,0.8977,2B,0.7837,,,,,,,,,,,,,,,,-30.2,0.7,0.943,,,,,2.0,113.75
2146,Country,,86.1,0.9,10B,0.7646,,,,,,,,,,,,,,,,-27.0,0.647,0.754,,,,,3.0,72.15933333333332
2147,Country,,129.2,0.9,7B,0.8374,,,,,,,,,,,,,,,,-25.7,0.827,0.98,,,,,2.0,105.657
2150,Country,,152.0,0.8661,9B,0.7494,,,,,,,,,,,,,,,,-30.6,0.36,0.569,,,,,3.0,80.60866666666666
2158,Country,,103.4,0.8977,9B,0.8036,,,,,,,,,,,,,,,,-28.3,0.249,0.773,,,,,3.0,108.90466666666667
2162,Rock,,117.5,0.9,4A,0.4589,,,,,,,,,,,,,,,,-22.0,0.709,0.946,,,,,2.0,122.373
2163,Rock,,120.2,0.841,12B,0.5078,,,,,,,,,,,,,,,,-22.6,0.667,0.93,,,,,3.0,111.13600000000001
2166,Rock,,129.2,0.8086,7A,0.8432,,,,,,,,,,,,,,,,-28.5,0.298,0.792,,,,,3.0,126.86399999999999
2167,Rock,,117.5,0.8937,5B,0.7505,,,,,,,,,,,,,,,,-24.8,0.741,0.958,,,,,3.0,71.81133333333334
2173,Hip-Hop,,123.0,0.8969,9A,0.3183,,,,,,,,,,,,,,,,-25.8,1.0,0.63,,,,,3.0,85.86200000000001
2174,Country,,136.0,0.8974,8A,0.5042,,,,,,,,,,,,,,,,-23.4,0.65,0.924,,,,,2.0,103.676
2175,Hip-Hop,,103.4,0.8728,10A,0.6548,,,,,,,,,,,,,,,,-23.9,0.81,0.98,,,,,3.0,64.76533333333334
2183,Hip-Hop,,103.4,0.8977,12B,0.73,,,,,,,,,,,,,,,,-27.6,0.833,0.98,,,,,2.0,92.129
2188,Rock,,136.0,0.8491,6A,0.7841,,,,,,,,,,,,,,,,-33.9,0.223,0.764,,,,,3.0,85.81466666666665
2201,Country,,112.3,0.9,2B,0.9254,,,,,,,,,,,,,,,,-25.7,0.774,0.97,,,,,2.0,90.238
2203,Country,,107.7,0.8978,8B,0.8294,,,,,,,,,,,,,,,,-25.5,0.828,0.98,,,,,2.0,112.877
2206,Hip-Hop,,143.6,0.85,9B,0.713,,,,,,,,,,,,,,,,-26.1,0.71,0.93,,,,,3.0,65.47666666666667
2209,Pop,,123.0,0.9,12A,0.6116,,,,,,,,,,,,,,,,-26.4,0.485,0.862,,,,,2.0,100.23299999999999
2212,Rock,,117.5,0.9,11B,0.8669,,,,,,,,,,,,,,,,-24.7,0.627,0.738,,,,,3.0,83.63333333333334
2217,Hip-Hop,,96.0,,,0.8,,,,,,,,,,,,,,,,-14.0,0.62,0.62,,,,,,
2221,Rock,,114.8,0.5839,9A,0.7363,,,,,,,,,,,,,,,,-29.7,0.265,0.429,,,,,3.0,94.49000000000001
2239,Rock,,99.4,0.8848,10A,0.7438,,,,,,,,,,,,,,,,-24.9,0.667,0.93,,,,,3.0,92.04200000000002
2240,Rock,,152.0,0.8138,12B,0.792,,,,,,,,,,,,,,,,-37.7,0.147,0.558,,,,,3.0,101.28533333333333
2245,Rock,,136.0,0.8491,9A,0.8309,,,,,,,,,,,,,,,,-27.8,0.681,0.935,,,,,3.0,62.88733333333334
2251,Metal,,89.1,0.8985,7A,0.7635,,,,,,,,,,,,,,,,-23.6,0.723,0.951,,,,,3.0,81.19666666666667
2258,Country,,107.7,0.8936,11B,0.8421,,,,,,,,,,,,,,,,-28.2,0.45,0.849,,,,,3.0,54.20733333333333
