batch_id,original_path,original_name,proposed_name,cleaned_name,guessed_artist,guessed_title,override_applied,parse_method,confidence,collision_status,duplicate_group_id,duplicate_risk,action,target_state,notes
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,Alan Walker,Spectre,,standard,1.0,no_change,G0086,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,Alan Walker - The Spectre.mp3,Alan Walker - The Spectre.mp3,Alan Walker - The Spectre.mp3,Alan Walker,The Spectre,,standard,1.0,no_change,G0086,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,Beastie Boys,Intergalactic,,standard,1.0,no_change,G0100,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls,Notorious Thugs,,standard,1.0,no_change,G0107,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls,Notorious Thugs.temp,,standard,1.0,no_change,G0107,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,black sabbath - sweet leaf.mp3,Black Sabbath - Sweet Leaf.mp3,black sabbath - sweet leaf.mp3,black sabbath,sweet leaf,,standard,1.0,no_change,G0095,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.temp.mp3,black sabbath - sweet leaf.temp.mp3,Black Sabbath - Sweet Leaf.temp.mp3,black sabbath - sweet leaf.temp.mp3,black sabbath,sweet leaf.temp,,standard,1.0,no_change,G0095,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,Black Star - Respiration ft. Common.mp3,Black Star - Respiration ft. Common.mp3,Black Star - Respiration ft. Common.mp3,Black Star,Respiration ft. Common,,standard,1.0,no_change,G0111,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - 1st of tha Month.mp3,Bone Thugs N Harmony - 1st of tha Month.mp3,Bone Thugs N Harmony - 1st of Tha Month.mp3,Bone Thugs N Harmony - 1st of tha Month.mp3,Bone Thugs N Harmony,1st of tha Month,,standard,1.0,no_change,G0114,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony,Crossroads,,standard,1.0,no_change,G0110,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs n Harmony,Thuggish Ruggish Bone,,standard,1.0,no_change,G0122,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-n-Harmony - 1st of tha Month.mp3,Bone Thugs-n-Harmony - 1st of tha Month.mp3,Bone Thugs-n-harmony - 1st of Tha Month.mp3,Bone Thugs-n-Harmony - 1st of tha Month.mp3,Bone Thugs-n-Harmony,1st of tha Month,,standard,1.0,no_change,G0114,near_duplicate,skip,REVIEW_REQUIRED,
